#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;1;0/0;0/0;0/0;0/0;0/0;0/16;0/0;0/16;0/0;0/1;0/0;0/0;0/0;0/0
59.85;0;0;1;1;0/59.85;0/52.5;0/59.85;0/59.85;0/17;0/13;0/17;0/15;0/0;0/1;0/0;0/0;0/0;0/1
119.95;0;0;1;1;0/119.95;0/56.81;0/119.95;0/119.95;0/17;0/13;0/17;0/16;0/0;0/1;0/0;0/0;0/0;0/7
179.64;0;0;1;1;0/179.64;0/62.17;0/179.64;0/179.64;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/0;0/0;0/12
239.75;0;1;1;1;0/239.75;0/116.51;0/239.75;0/239.75;0/17;0/14;0/17;0/15;0/0;0/1;0/0;0/1;0/0;0/13
299.93;0;1;1;1;0/299.93;0/143.55;0/299.93;0/299.93;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/1;0/0;0/16
359.77;0;2;1;1;0/359.77;0/192.26;0/359.77;0/359.77;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/2;0/0;0/18
419.77;0;2;1;1;0/419.77;0/194.25;0/419.77;0/419.77;0/17;0/18;0/17;0/18;0/0;0/1;0/0;0/2;0/0;0/23
479.82;0;2;1;1;0/479.82;0/254.31;0/479.82;0/479.82;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/2;0/0;0/23
539.61;0;3;1;1;0/539.61;0/257.65;0/539.61;0/539.61;0/17;0/18;0/17;0/19;0/0;0/1;0/0;0/3;0/0;0/29
599.75;0;3;1;1;0/599.75;0/306.16;0/599.75;0/599.75;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/3;0/0;0/30
659.9;0;4;1;1;0/659.9;0/327.55;0/659.9;0/659.9;0/17;0/18;0/17;0/19;0/0;0/1;0/0;0/4;0/0;0/35
719.64;0;4;1;1;0/719.64;0/367.68;0/719.64;0/719.64;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/4;0/0;0/36
779.61;0;5;1;1;0/779.61;0/408.05;0/779.61;0/779.61;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/5;0/0;0/38
839.88;0;6;1;1;0/839.88;0/458.72;0/839.88;0/839.88;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/6;0/0;0/39
899.59;0;7;1;1;0/899.59;0/474.05;0/899.59;0/899.59;0/17;0/16;0/17;0/17;0/0;0/1;0/0;0/7;0/0;0/44
959.7;0;7;1;1;0/959.7;0/499.56;0/959.7;0/959.7;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/7;0/0;0/47
1019.99;0;8;1;1;0/1019.99;0/550.02;0/1019.99;0/1019.99;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/8;0/0;0/48
1079.85;0;9;1;1;0/1079.85;0/599.92;0/1079.85;0/1079.85;0/17;0/18;0/17;0/18;0/0;0/1;0/0;0/9;0/0;0/49
1139.88;0;10;1;1;0/1139.88;0/650.04;0/1139.88;0/1139.88;0/17;0/19;0/17;0/19;0/0;0/1;0/0;0/10;0/0;0/50
1199.74;0;11;1;1;0/1199.74;0/701.47;0/1199.74;0/1199.74;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/11;0/0;0/51
1259.97;0;11;1;1;0/1259.97;0/731.18;0/1259.97;0/1259.97;0/17;0/16;0/17;0/20;0/0;0/1;0/0;0/11;0/0;0/54
1319.91;0;12;1;1;0/1319.91;0/761.96;0/1319.91;0/1319.91;0/17;0/16;0/17;0/17;0/0;0/1;0/0;0/12;0/0;0/57
1379.72;0;12;1;1;0/1379.72;0/765.31;0/1379.72;0/1379.72;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/12;0/0;0/63
1439.73;0;12;1;1;0/1439.73;0/822.82;0/1439.73;0/1439.73;0/17;0/15;0/17;0/17;0/0;0/1;0/0;0/12;0/0;0/63
1499.89;0;13;1;1;0/1499.89;0/853.72;0/1499.89;0/1499.89;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/13;0/0;0/66
1559.9;0;14;1;1;0/1559.9;0/903.85;0/1559.9;0/1559.9;0/17;0/20;0/17;0/20;0/0;0/1;0/0;0/14;0/0;0/67
1619.95;0;15;1;1;0/1619.95;0/953.96;0/1619.95;0/1619.95;0/17;0/20;0/17;0/20;0/0;0/1;0/0;0/15;0/0;0/68
1679.76;0;16;1;1;0/1679.76;0/1003.86;0/1679.76;0/1679.76;0/17;0/22;0/17;0/22;0/0;0/1;0/0;0/16;0/0;0/69
1739.62;0;17;1;1;0/1739.62;0/1058.05;0/1739.62;0/1739.62;0/17;0/20;0/17;0/21;0/0;0/1;0/0;0/17;0/0;0/70
1799.92;0;17;1;1;0/1799.92;0/1074.62;0/1799.92;0/1799.92;0/17;0/22;0/17;0/22;0/0;0/1;0/0;0/17;0/0;0/74
